 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Sep 26, 2014 05:00 ",1225.74 ,1226.09 ,1222.79 ,1223.88 ,-18.6 ,-0.15%
"Sep 26, 2014 04:00 ",1223.33 ,1228.31 ,1223.33 ,1225.74 ,+24.1 ,+0.20%
"Sep 26, 2014 03:00 ",1222.74 ,1224.06 ,1222.64 ,1223.24 ,+5.0 ,+0.04%
"Sep 26, 2014 02:00 ",1222.13 ,1223.98 ,1221.83 ,1222.63 ,+5.0 ,+0.04%
"Sep 26, 2014 01:00 ",1220.62 ,1222.2 ,1220.27 ,1222.04 ,+14.2 ,+0.12%
"Sep 25, 2014 23:00 ",1220.74 ,1222.03 ,1220.34 ,1221.14 ,+4.0 ,+0.03%
"Sep 25, 2014 22:00 ",1222.24 ,1222.55 ,1220.73 ,1220.76 ,-14.8 ,-0.12%
"Sep 25, 2014 21:00 ",1222.55 ,1224.44 ,1221.55 ,1222.24 ,-3.1 ,-0.03%
"Sep 25, 2014 20:00 ",1220.17 ,1223.84 ,1219.78 ,1222.54 ,+23.7 ,+0.19%
"Sep 25, 2014 19:00 ",1221.5 ,1222.04 ,1219.64 ,1220.09 ,-14.1 ,-0.12%
"Sep 25, 2014 18:00 ",1220.82 ,1221.72 ,1217.42 ,1221.44 ,+6.2 ,+0.05%
"Sep 25, 2014 17:00 ",1214.75 ,1224.11 ,1213.51 ,1220.87 ,+61.2 ,+0.50%
"Sep 25, 2014 16:00 ",1211.94 ,1216.68 ,1208.19 ,1214.68 ,+27.4 ,+0.23%
"Sep 25, 2014 15:00 ",1210.97 ,1213.74 ,1210.18 ,1211.94 ,+9.7 ,+0.08%
"Sep 25, 2014 14:00 ",1208.9 ,1211.09 ,1208.42 ,1210.94 ,+20.4 ,+0.17%
"Sep 25, 2014 13:00 ",1210.21 ,1210.57 ,1208.21 ,1208.9 ,-13.1 ,-0.11%
"Sep 25, 2014 12:00 ",1210.74 ,1211.44 ,1209.75 ,1210.23 ,-5.1 ,-0.04%
"Sep 25, 2014 11:00 ",1208.38 ,1211.19 ,1207.65 ,1210.74 ,+23.6 ,+0.19%
"Sep 25, 2014 10:00 ",1210.08 ,1210.74 ,1206.9 ,1208.59 ,-14.9 ,-0.12%
"Sep 25, 2014 09:00 ",1211.54 ,1212.69 ,1208.88 ,1210.05 ,-14.9 ,-0.12%
"Sep 25, 2014 08:00 ",1213.93 ,1215.03 ,1211.54 ,1211.56 ,-23.7 ,-0.20%
"Sep 25, 2014 07:00 ",1214.6 ,1214.74 ,1213.64 ,1213.85 ,-7.5 ,-0.06%
"Sep 25, 2014 06:00 ",1213.94 ,1215.54 ,1213.64 ,1214.7 ,+7.6 ,+0.06%
"Sep 25, 2014 05:00 ",1213.66 ,1214.74 ,1212.71 ,1214.07 ,+4.1 ,+0.03%
"Sep 25, 2014 04:00 ",1214.29 ,1214.89 ,1212.54 ,1213.69 ,-6.0 ,-0.05%
"Sep 25, 2014 03:00 ",1215.69 ,1215.73 ,1213.16 ,1214.34 ,-13.5 ,-0.11%
"Sep 25, 2014 02:00 ",1216.44 ,1216.84 ,1215.19 ,1215.73 ,-7.1 ,-0.06%
"Sep 25, 2014 01:00 ",1216.58 ,1216.99 ,1215.84 ,1216.59 ,+0.1 ,+0.00%
"Sep 24, 2014 23:00 ",1217.11 ,1217.24 ,1216.6 ,1216.65 ,-4.6 ,-0.04%
"Sep 24, 2014 22:00 ",1218.18 ,1218.68 ,1216.73 ,1217.12 ,-10.6 ,-0.09%
"Sep 24, 2014 21:00 ",1217.29 ,1218.3 ,1216.73 ,1218.13 ,+8.4 ,+0.07%
"Sep 24, 2014 20:00 ",1217.94 ,1219.18 ,1217.16 ,1217.3 ,-6.4 ,-0.05%
"Sep 24, 2014 19:00 ",1217.45 ,1218.94 ,1216.9 ,1217.86 ,+4.1 ,+0.03%
"Sep 24, 2014 18:00 ",1220.17 ,1220.48 ,1215.69 ,1217.45 ,-27.2 ,-0.22%
"Sep 24, 2014 17:00 ",1217.99 ,1223.84 ,1216.99 ,1220.19 ,+22.0 ,+0.18%
"Sep 24, 2014 16:00 ",1220.76 ,1220.78 ,1216.57 ,1217.99 ,-27.7 ,-0.23%
