 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%),,OH diff,OL diff.,OC diff,Max,Min,Avg. Max.,2.0998811096
Sep 24, 2014 17:00 ,1217.99,1223.84,1216.99,1220.19,22,+0.18%,5.85,1,2.2,5.85,1,,
Sep 24, 2014 16:00 ,1220.76,1220.78,1216.57,1217.99,-27.7,-0.23%,0.02,4.19,-2.77,4.19,0.02,,
Sep 24, 2014 15:00 ,1221.54,1222.24,1217.89,1220.77,-7.7,-0.06%,0.7,3.65,-0.77,3.65,0.7,,
Sep 24, 2014 14:00 ,1222.1,1222.19,1219.97,1221.59,-5.1,-0.04%,0.09,2.13,-0.51,2.13,0.09,,
Sep 24, 2014 13:00 ,1224.55,1225.64,1220.74,1222.1,-24.5,-0.20%,1.09,3.81,-2.45,3.81,1.09,,
Sep 24, 2014 12:00 ,1221.74,1226.04,1221.25,1224.49,27.5,+0.22%,4.3,0.49,2.75,4.3,0.49,,
Sep 24, 2014 11:00 ,1224.39,1224.57,1221.69,1221.74,-26.5,-0.22%,0.18,2.7,-2.65,2.7,0.18,,
Sep 24, 2014 10:00 ,1224.77,1225.83,1223.79,1224.41,-3.6,-0.03%,1.06,0.98,-0.36,1.06,0.98,,
Sep 24, 2014 09:00 ,1223.29,1225.64,1222.81,1224.78,14.9,+0.12%,2.35,0.48,1.49,2.35,0.48,,
Sep 24, 2014 08:00 ,1223.54,1224.38,1222.92,1223.29,-2.5,-0.02%,0.84,0.62,-0.25,0.84,0.62,,
Sep 24, 2014 07:00 ,1223.34,1223.65,1222.49,1223.44,1,+0.01%,0.31,0.85,0.1,0.85,0.31,,
Sep 24, 2014 06:00 ,1222.71,1224.09,1222.16,1223.34,6.3,+0.05%,1.38,0.55,0.63,1.38,0.55,,
Sep 24, 2014 05:00 ,1222.98,1223.29,1220.81,1222.75,-2.3,-0.02%,0.31,2.17,-0.23,2.17,0.31,,
Sep 24, 2014 04:00 ,1221.19,1223.39,1220.3,1223.02,18.3,+0.15%,2.2,0.89,1.83,2.2,0.89,,
Sep 24, 2014 03:00 ,1221.81,1222.25,1220.97,1221.34,-4.7,-0.04%,0.44,0.84,-0.47,0.84,0.44,,
Sep 24, 2014 02:00 ,1221.87,1223.59,1221.65,1221.84,-0.3,+0.00%,1.72,0.22,-0.03,1.72,0.22,,
Sep 24, 2014 01:00 ,1222.21,1223.02,1222.01,1222.01,-2,-0.02%,0.81,0.2,-0.2,0.81,0.2,,
Sep 23, 2014 23:00 ,1222.79,1224.34,1222.36,1223.03,2.4,+0.02%,1.55,0.43,0.24,1.55,0.43,,
Sep 23, 2014 22:00 ,1224.44,1224.52,1221.5,1222.87,-15.7,-0.13%,0.08,2.94,-1.57,2.94,0.08,,
Sep 23, 2014 21:00 ,1221.95,1224.55,1221.93,1224.45,25,+0.20%,2.6,0.02,2.5,2.6,0.02,,
Sep 23, 2014 20:00 ,1221.19,1222.23,1220.65,1222.04,8.5,+0.07%,1.04,0.54,0.85,1.04,0.54,,
Sep 23, 2014 19:00 ,1223.03,1223.14,1220.46,1221.21,-18.2,-0.15%,0.11,2.57,-1.82,2.57,0.11,,
Sep 23, 2014 18:00 ,1221.92,1223.59,1221.19,1223.02,11,+0.09%,1.67,0.73,1.1,1.67,0.73,,
Sep 23, 2014 17:00 ,1221.69,1223.09,1219.94,1221.89,2,+0.02%,1.4,1.75,0.2,1.75,1.4,,
Sep 23, 2014 16:00 ,1225.69,1227.59,1221.54,1221.74,-39.5,-0.32%,1.9,4.15,-3.95,4.15,1.9,,
Sep 23, 2014 15:00 ,1232.7,1232.91,1224.99,1225.76,-69.4,-0.57%,0.21,7.71,-6.94,7.71,0.21,,
Sep 23, 2014 14:00 ,1232.61,1233.86,1231.16,1232.74,1.3,+0.01%,1.25,1.45,0.13,1.45,1.25,,
Sep 23, 2014 13:00 ,1225.34,1235.67,1224.89,1232.29,69.5,+0.56%,10.33,0.45,6.95,10.33,0.45,,
Sep 23, 2014 12:00 ,1223.64,1226.79,1223.26,1225.28,16.4,+0.13%,3.15,0.38,1.64,3.15,0.38,,
Sep 23, 2014 11:00 ,1217.7,1227.14,1217.62,1223.57,58.7,+0.48%,9.44,0.08,5.87,9.44,0.08,,
Sep 23, 2014 10:00 ,1216.31,1218.1,1215.88,1217.66,13.5,+0.11%,1.79,0.43,1.35,1.79,0.43,,
Sep 23, 2014 09:00 ,1218.91,1219.22,1215.49,1216.32,-25.9,-0.21%,0.31,3.42,-2.59,3.42,0.31,,
Sep 23, 2014 08:00 ,1219.33,1219.88,1218.29,1218.95,-3.8,-0.03%,0.55,1.04,-0.38,1.04,0.55,,
Sep 23, 2014 07:00 ,1218.19,1220.14,1218.09,1219.38,11.9,+0.10%,1.95,0.1,1.19,1.95,0.1,,
Sep 23, 2014 06:00 ,1218.19,1218.49,1217.24,1218.24,0.5,+0.00%,0.3,0.95,0.05,0.95,0.3,,
Sep 23, 2014 05:00 ,1219.19,1219.19,1217.25,1218.14,-10.5,-0.09%,0,1.94,-1.05,1.94,0,,
Sep 23, 2014 04:00 ,1215.59,1219.24,1215.34,1219.19,36,+0.30%,3.65,0.25,3.6,3.65,0.25,,
Sep 23, 2014 03:00 ,1214.88,1216.17,1214.17,1215.59,7.1,+0.06%,1.29,0.71,0.71,1.29,0.71,,
Sep 23, 2014 02:00 ,1214.55,1215.47,1214.27,1214.92,3.7,+0.03%,0.92,0.28,0.37,0.92,0.28,,
Sep 23, 2014 01:00 ,1214.12,1216.43,1214.12,1214.74,6.2,+0.05%,2.31,0,0.62,2.31,0,,
Sep 22, 2014 23:00 ,1215.14,1216.42,1214.09,1214.56,-5.8,-0.05%,1.28,1.05,-0.58,1.28,1.05,,
Sep 22, 2014 22:00 ,1216.98,1217.17,1214.37,1215.17,-18.1,-0.15%,0.19,2.61,-1.81,2.61,0.19,,
Sep 22, 2014 21:00 ,1216.89,1217.69,1216.74,1216.99,1,+0.01%,0.8,0.15,0.1,0.8,0.15,,
Sep 22, 2014 20:00 ,1217.09,1218.09,1216.06,1216.84,-2.5,-0.02%,1,1.03,-0.25,1.03,1,,
Sep 22, 2014 19:00 ,1219.14,1220.34,1216.49,1217.02,-21.2,-0.17%,1.2,2.65,-2.12,2.65,1.2,,
Sep 22, 2014 18:00 ,1213.49,1219.52,1212.16,1219.09,56,+0.46%,6.03,1.33,5.6,6.03,1.33,,
Sep 22, 2014 17:00 ,1214.16,1215.35,1212.66,1213.49,-6.7,-0.06%,1.19,1.5,-0.67,1.5,1.19,,
Sep 22, 2014 16:00 ,1214.88,1215.62,1211.99,1213.94,-9.4,-0.08%,0.74,2.89,-0.94,2.89,0.74,,
Sep 22, 2014 15:00 ,1214.52,1217.22,1214.39,1214.93,4.1,+0.03%,2.7,0.13,0.41,2.7,0.13,,
Sep 22, 2014 14:00 ,1214.34,1215.22,1212.29,1214.51,1.7,+0.01%,0.88,2.05,0.17,2.05,0.88,,
Sep 22, 2014 13:00 ,1214.54,1215.05,1212.77,1214.32,-2.2,-0.02%,0.51,1.77,-0.22,1.77,0.51,,
Sep 22, 2014 12:00 ,1214.77,1215.79,1213.82,1214.64,-1.3,-0.01%,1.02,0.95,-0.13,1.02,0.95,,
Sep 22, 2014 11:00 ,1214.69,1216.02,1214.52,1214.77,0.8,+0.01%,1.33,0.17,0.08,1.33,0.17,,
Sep 22, 2014 10:00 ,1214.12,1215.77,1213.69,1214.62,5,+0.04%,1.65,0.43,0.5,1.65,0.43,,
Sep 22, 2014 09:00 ,1212.98,1214.87,1211.78,1214.12,11.4,+0.09%,1.89,1.2,1.14,1.89,1.2,,
Sep 22, 2014 08:00 ,1213.29,1214.04,1210.64,1212.96,-3.3,-0.03%,0.75,2.65,-0.33,2.65,0.75,,
Sep 22, 2014 07:00 ,1213.14,1213.99,1212.74,1213.33,1.9,+0.02%,0.85,0.4,0.19,0.85,0.4,,
Sep 22, 2014 06:00 ,1213.14,1214.29,1212.95,1213.19,0.5,+0.00%,1.15,0.19,0.05,1.15,0.19,,
Sep 22, 2014 05:00 ,1212.06,1214.49,1211.84,1213.16,11,+0.09%,2.43,0.22,1.1,2.43,0.22,,
Sep 22, 2014 04:00 ,1217.24,1217.24,1208.14,1211.96,-52.8,-0.44%,0,9.1,-5.28,9.1,0,,
